topic,unmapped_sentence_count,name,representation,count_in_topic_info
410,54,410_acting_cuccinelli_ken_director,"['acting', 'cuccinelli', 'ken', 'director', 'holman', 'tom', 'customs', 'uscis', 'former', 'enforcement']",54
391,53,391_champion_win_fight_might,"['champion', 'win', 'fight', 'might', 'dana', 'fighters', 'guy', 'migrant', 'greatest', 'winnebago']",53
497,53,497_caitlin_writer_dickerson_atlantic,"['caitlin', 'writer', 'dickerson', 'atlantic', 'staff', 'prize', 'covers', 'pulitzer', 'joined', 'kaitlin']",53
323,52,323_dispute_tennis_djokovic_novak,"['dispute', 'tennis', 'djokovic', 'novak', 'unvaccinated', 'players', 'player', 'australian', 'jokovic', 'rackets']",52
514,51,514_movie_film_baseball_tears,"['movie', 'film', 'baseball', 'tears', 'documentaries', 'fan', 'carmen', 'grammy', 'grandpa', 'uh']",51
500,51,500_military_armed_army_served,"['military', 'armed', 'army', 'served', 'forces', 'mac', 'conscripted', 'serve', 'conscription', 'numbering']",51
265,51,265_yuma_arizona_nichols_mayor,"['yuma', 'arizona', 'nichols', 'mayor', '250000', 'douglas', 'polyglot', 'jarring', 'contrast', 'declared']",51
407,50,407_league_fight_lydia_develops,"['league', 'fight', 'lydia', 'develops', 'eugenics', 'migrant', 'start', 'set', 'spoiler', 'fighters']",50
463,50,463_tweet_tweeting_twitter_dumb,"['tweet', 'tweeting', 'twitter', 'dumb', 'tweeted', 'tweets', 'excretions', 'fucking', 'screenshot', 'rogue']",50
396,50,396_900_844_2825_7669,"['900', '844', '2825', '7669', '408', '866', 'thoughts', '2882', '800', '282']",50
361,48,361_term_short_prefix_moving,"['term', 'short', 'prefix', 'moving', 'migrant', 'preposition', 'denotes', 'latin', 'compound', 'long']",48
443,46,443_axios_target_according_figure,"['axios', 'target', 'according', 'figure', 'description', 'article', 'exclusive', 'nearly', 'read', 'story']",46
377,45,377_loopholes_loophole_exploit_deficiencies,"['loopholes', 'loophole', 'exploit', 'deficiencies', 'laws', 'justifiable', 'larger', 'overstaying', 'enables', 'catch']",45
513,45,513_insofar_broader_decades_spear,"['insofar', 'broader', 'decades', 'spear', 'lunacy', 'goodwin', 'exacerbated', 'issue', 'happening', 'sense']",45
437,43,437_aurora_colorado_narrative_kaufman,"['aurora', 'colorado', 'narrative', 'kaufman', 'unflattering', 'visit', 'intention', 'notch', 'combat', 'lies']",43
384,42,384_santos_brazil_mother_mom,"['santos', 'brazil', 'mother', 'mom', 'fraudster', 'jewish', 'nurse', 'claimed', 'george', 'jew']",42
428,39,428_deter_would_corinne_relations,"['deter', 'would', 'corinne', 'relations', 'gut', 'functions', 'crush', 'ease', 'expertise', 'insist']",39
400,39,400_raises_identify_horse_trojan,"['raises', 'identify', 'horse', 'trojan', 'cochise', 'hunt', 'puppies', 'profiles', 'valedictorian', 'saves']",39
509,37,509_fascism_fascists_fascist_enemies,"['fascism', 'fascists', 'fascist', 'enemies', 'wartime', 'democracy', 'elect', 'undermine', 'balaclavas', 'hippies']",37
397,36,397_talk_cia_slate_topics,"['talk', 'cia', 'slate', 'topics', 'bonus', 'll', 'hannity', 'smartest', 'events', 'about']",36
405,35,405_dreamers_daca_recipients_program,"['dreamers', 'daca', 'recipients', 'program', 'pillars', 'action', 'reprioritize', 'deportation', 'obama', 'known']",35
409,33,409_ufc_fighters_fight_league,"['ufc', 'fighters', 'fight', 'league', 'dana', 'club', 'professional', 'glorifies', 'wants', 'exemplifies']",33
401,33,401_libertarians_libertarian_libertarianism_tank,"['libertarians', 'libertarian', 'libertarianism', 'tank', 'contributory', 'panic', 'unborn', 'foolish', 'traditional', 'cato']",33
489,33,489_intentions_monster_fucking_president,"['intentions', 'monster', 'fucking', 'president', 'secure', 'messed', 'factually', 'incorrect', 'obscured', 'cornerstone']",33
527,31,527_idaho_montana_cows_california,"['idaho', 'montana', 'cows', 'california', 'fleeing', 'totalitarian', 'coast', 'oregon', 'refugees', 'washington']",31
460,31,460_unveiled_waffly_puts_president,"['unveiled', 'waffly', 'puts', 'president', 'trump', 'explored', 'expansion', '1b', 'opposed', 'applause']",31
368,31,368_anchorman_stein_thrilled_honored,"['anchorman', 'stein', 'thrilled', 'honored', 'mark', 'whatsoever', 'paperwork', 'supporting', 'yes', 'away']",31
462,30,462_homeless_vets_veterans_kicked,"['homeless', 'vets', 'veterans', 'kicked', 'hotels', 'room', 'story', 'displaced', 'hotel', 'update']",30
471,30,471_quantico_jordanian_corps_marine,"['quantico', 'jordanian', 'corps', 'marine', 'hamdan', 'trespassing', 'onto', 'dabous', 'base', 'breach']",30
464,29,464_wristbands_owe_cartels_conviction,"['wristbands', 'owe', 'cartels', 'conviction', 'colored', 'wearing', 'cartel', 'corresponds', 'wears', 'coded']",29
431,29,431_booker_cory_rourke_aided,"['booker', 'cory', 'rourke', 'aided', 'accompanied', 'actively', 'aiding', 'protocols', 'beto', 'semantic']",29
475,28,475_hiring_barbara_congresswoman_recommended,"['hiring', 'barbara', 'congresswoman', 'recommended', 'guards', 'commission', 'budget', 'aggressively', 'twice', 'cracking']",28
540,22,540_california_sanctuary_state_dim,"['california', 'sanctuary', 'state', 'dim', 'stance', 'succession', 'its', 'federalism', 'intervening', 'federal']",22
