Topic,Count,Name,Representation,Representative_Docs
72,304,72_welfare_benefits_households_stamps,"['welfare', 'benefits', 'households', 'stamps', 'state', 'headed', 'programs', 'social', 'food', 'receive']","['Well, in terms of welfare and immigrants, I can say that', ""a welfare case or a welfare dependent. And that's as a legal immigrant in the United States. That's right."", ""And then, you know, on the welfare state stuff, I mean, look, you know, I want limits on the welfare state. I don't have a problem with limiting welfare benefits to people who are undocumented or illegal or whatever. But in general, that's not the that there might be a political issue, but that's not a huge problem.""]"
73,284,73_dreamers_dreamer_path_citizenship,"['dreamers', 'dreamer', 'path', 'citizenship', 'ultimate', 'embrace', '11', 'goal', 'undocumented', 'future']","['really done on immigration the dreamers are the', ""Dreamers, sure. They're just undocumented. They're not illegal."", 'immigration deal for the DREAMers,']"
74,374,74_broken_system_fix_fixed,"['broken', 'system', 'fix', 'fixed', 'needs', 'our', 'repaired', 'immigration', 'fixing', 'we']","['a broken immigration system', 'broken immigration system,', 'We have a broken immigration system.']"
75,279,75_eating_pets_haitian_ohio,"['eating', 'pets', 'haitian', 'ohio', 'dogs', 'cats', 'springfield', 'ducks', 'lie', 'pet']","[""So with the cats and dogs decision was very interesting for the president to come out and say, you know, they're eating their pets over in these Haitian immigrants are eating the pets over in Springfield. I'm pretty sure that's happening."", ""Haitian immigrants in Ohio eating people's pets. There"", ""there are Haitian immigrants in this of Springfield, Ohio that are eating pets. And it's""]"
76,276,76_miller_stephen_advisor_architect,"['miller', 'stephen', 'advisor', 'architect', 'senior', 'trump', 'white', 'house', 'president', 'his']","[""And well, Stephen Miller doesn't want any non -white immigrants coming to the US. That's and that's what this"", ""and now there you have Stephen Miller's policy Immigration policy. I will also say but he"", ""Stephen Miller's immigration policies.""]"
77,463,77_anti_immigrant_sentiment_rhetoric,"['anti', 'immigrant', 'sentiment', 'rhetoric', 'semitism', 'racist', 'racism', 'gay', 'conflate', 'repeating']","[""It's not that it's anti -immigrant. It's anti -illegal immigrant."", 'anti -immigrant.', 'anti -immigrant']"
78,263,78_gun_guns_control_firearm,"['gun', 'guns', 'control', 'firearm', 'firearms', 'weapon', 'common', 'mantis', 'amendment', 'violence']","[""They're doing this with gun control. They're doing this on immigration. There's there's no."", ""They're doing this with gun control. They're doing this on immigration. There's"", ""gun safety laws or gun control. He's done it on immigration.""]"
79,248,79_podcast_episode_show_podcasts,"['podcast', 'episode', 'show', 'podcasts', 'talk', 'today', 'listen', 'host', 'dispatch', 'buck']","[""I appreciate that that uh clearly has some some meaning for you and and the fact that you do the Lepanto deep dive and I know I've said guys we have the history podcasts coming I'm not that's a it's a business thing we're just we're trying to get uh some major corporate sponsors for a series of six history deep dive podcasts they're they're ready to as soon as that happens we're ready to go and release them but that's the only way that we can get the work and labor and everything into them the editing and have producer Mark stay up late at night to get it going so that's that's the part of it that's holding it up it's not the work from our end it's you know we're waiting to get them pitched and to get them lined up with uh with podcast sponsors so that's what's going to be happening uh going forward Adi writes good morning buck I've been listening for a while now I enjoy you and producer Mark tremendously just so you know I'm listening to you from Israel on the iHeart app oh that's awesome I'm an Israeli married to American by the way if you want to hear a horror story about immigration I can give you one and maybe people will understand the injustice of illegal immigration I wish there was a little bit of talk about the hardship that legal immigration has to prove and versus and reality versus the government just handing illegal immigrants I'm crossing my fingers for our great country we're all going to survive this administration hope you and yours are happy and healthy well Adi thanks so much for writing in and we appreciate it and uh great to have team buck Israel in the house Alex hey buck and mark I know you often say Trump didn't get many sustainable things done under his first four years he did sign a bunch of EOs that's not the same as legislation I agree any EO that he did sign has now been undone by the ruler in chief the issue is with the way you frame it I believe that during Trump's first two years when Republicans had both the house and the Senate half of the idiots actually believe the GOP actually believed Trump colluded with Russia didn't support his agenda I just think he was hamstrung from the get -go what do you think love the show and express VPN and black rifle coffee and my pillow stay in the fight shields high Alex you're a team buck superstar thank you so much for supporting our sponsors that means the world to us keeps us in business and um as for your assessment of Trump yeah I think you're I think you make valid points entirely"", 'We were able to do our podcast and we saw exactly what was happening down on the border. We saw dozens of migrants run through our shot, run directly through our podcast.', 'when I wanted to do the podcast, people wanted me to do a podcast about immigrants.']"
80,194,80_sweden_swedish_norway_swedes,"['sweden', 'swedish', 'norway', 'swedes', 'denmark', 'stockholm', 'gangs', 'born', 'population', 'refugees']","['The reason they have so many refugees and migrants coming into Sweden,', ""When the refugees and migrants come into Sweden, let's place them."", 'This is the problem of Sweden. When the refugees and the migrants came in 20 years ago, Sweden said, do your thing.']"
81,335,81_wages_wage_workers_minimum,"['wages', 'wage', 'workers', 'minimum', 'labor', 'jobs', 'low', 'lower', 'class', 'depress']","['on immigration, on living wages, on', ""So that gets us to the immigration issue. If poverty is increasing and if wages are going down, I don't know why we need millions of people to be coming into this country as guest workers who will work for lower wages than American workers and drive wages down even lower than they are right now."", ""So that gets us to the immigration issue. If poverty is increasing and if wages are going down, I don't know why we need millions of people to be coming into this country as guest workers who will work for lower wages than American workers and drive wages down even lower than they are right now.""]"
82,313,82_cartels_cartel_drug_smuggling,"['cartels', 'cartel', 'drug', 'smuggling', 'drugs', 'human', 'gone', 'mexican', 'across', 'gangs']","['cartels who bring the migrants across the', 'the cartels who bring the migrants across the', 'the cartels in the migrant crisis had']"
83,303,83_polls_poll_gallup_polling,"['polls', 'poll', 'gallup', 'polling', 'americans', 'voters', 'support', 'percent', 'top', 'issue']","['polls I look at, the national polls, actually Americans still support immigrants. They support immigration.', 'polls I look at, the national polls, actually Americans still support immigrants. They support immigration.', 'polls I look at, the national polls, actually Americans still support immigrants. They support immigration.']"
84,362,84_inflation_crime_economy_issues,"['inflation', 'crime', 'economy', 'issues', 'gas', 'prices', 'rising', 'immigration', 'both', 'whether']","['Right. So inflation, immigration,', 'inflation, immigration,', 'inflation, immigration,']"
85,244,85_vance_jd_tim_walz,"['vance', 'jd', 'tim', 'walz', 'debate', 'trump', 'springfield', 'wife', 'ohio', 'waltz']","[""to say that JD Vance is anti -women or anti -immigrant. I mean, this is just they're going to say this about anyone."", 'Next, a question about JD Vance this morning and immigration.', ""immigration more. I mean, you're first of all, you're not supposed to say that part JD Vance, right?""]"
86,263,86_video_videos_youtube_footage,"['video', 'videos', 'youtube', 'footage', 'showing', 'shows', 'bridge', 'watch', 'viral', 'seen']","['I did a video, like two videos in the past couple of days, just talking about immigration law. And YouTube said that was hate speech.', 'that if you watch, say, a video about immigration,', 'If you watch a video about immigration,']"
87,167,87_immigrant_guy_he_parents,"['immigrant', 'guy', 'he', 'parents', 'his', 'an', 'maz', 'comedy', 'was', 'outsider']","['he is an illegal immigrant and that that', ""He's an immigrant."", 'He was an illegal immigrant.']"
88,200,88_undocumented_documents_term_nonsense,"['undocumented', 'documents', 'term', 'nonsense', 'use', 'word', 'unhoused', 'say', 'sorry', 'notice']","['This is for the undocumented.', 'They are undocumented.', 'are undocumented.']"
89,379,89_bad_good_thing_immigration,"['bad', 'good', 'thing', 'immigration', 'great', 'fantastic', 'legal', 'why', 'illegal', 'it']","['is really bad. Is not not good on the issue of immigration at all.', 'good immigration. You have bad immigration. Now, what is bad immigration?', 'good immigration. You have bad immigration.']"
90,311,90_deportation_deportations_mass_deported,"['deportation', 'deportations', 'mass', 'deported', 'enforcement', 'trump', 'president', 'subject', 'interior', 'undocumented']","['mass deportation of every illegal immigrant in the country.', 'Two mass deportations. OK, one is the mass deportation of millions of illegals who are in this country against the law.', 'Two mass deportations. Okay, one is the mass deportation of millions of illegals who are in this country against the law,']"
91,226,91_want_they_don_secure,"['want', 'they', 'don', 'secure', 'pretend', 'stop', 'stay', 'forever', 'occur', 'security']","['they do not want to stop illegal immigration.', ""They don't want open borders. They don't want to have illegal immigrants"", 'Well, they they want immigration because they want those are people that']"
92,257,92_officers_cops_bail_nypd,"['officers', 'cops', 'bail', 'nypd', 'police', 'beat', 'arrested', 'square', 'york', 'jail']","[""cops were beaten by a rowdy migrant mob near time square The suspects were later freed After they were caught trying to kill these two cops and they had video proof They were released without bail. That's right without bail Now let me also tell you more about the biden administration releasing the the migrant crime wave that is sweeping across sanctuary cities These sanctuary cities and their suburbs are experiencing a crime wave that they've never experienced before Who are committing the crimes? illegal immigrants who are being released by the biden administration after breaking american laws Illegally crossing the border between the ports of entry Police particularly in chicago area new york city Reporting now significant increases in crimes related to migrants relocated to their cities"", 'the story, as you know, is a group of illegal immigrants, basically a gang of them, beat up two NYPD cops, beat them, kicked them, assaulted them. And then they were arrested and they got released within hours with no bail.', ""New york governor by the way Suggest deporting the migrants who were allowed to walk free on no bail after beating cops in new york cities times square And I want to be clear. They didn't try to beat these cops They tried to kill them if you watch the video they were trying to kill these police officers""]"
93,255,93_lying_lie_lied_lies,"['lying', 'lie', 'lied', 'lies', 'honest', 'truth', 'about', 'they', 'media', 'constantly']","[""they're lying to all of us, they lie about immigration all the time. And in fact the entire immigration discussion has been infected with so many lies from the media and such a left wing bias that if nothing else,"", ""they're lying to all of us, they lie about immigration all the time. And in fact the entire immigration discussion has been infected with so many lies from the media and such a left wing bias that if nothing else,"", 'They were lying. The issue of immigration,']"
94,206,94_asian_generation_harvard_asians,"['asian', 'generation', 'harvard', 'asians', 'asia', 'korean', 'americans', 'parents', 'schools', 'school']","['against Asian Americans and Asian immigrants in this country.', 'by Asian immigrants.', 'But what about the Asian immigrants?']"
95,180,95_displaced_refugees_internally_million,"['displaced', 'refugees', 'internally', 'million', 'world', 'number', 'tolerable', 'war', '000', 'thousands']","['million refugees.', '7 million refugees.', 'a million refugees,']"
96,288,96_guatemala_honduras_salvador_el,"['guatemala', 'honduras', 'salvador', 'el', 'guatemalan', 'honduran', 'countries', 'triangle', 'mexico', 'nicaragua']","['illegals from Guatemala, Honduras, et cetera, people have done', 'But these countries like Honduras and Guatemala have migrants fleeing', 'immigrant migrant sitting in Guatemala, Honduras or El Salvador,']"
97,318,97_executive_order_suspend_orders,"['executive', 'order', 'suspend', 'orders', 'entry', 'president', 'temporarily', 'suspending', 'signed', 'suspension']","[""an executive order to, quote, temporarily suspend immigration into the United States. That's not what this does."", ""immigration at the border. You've by executive order done this."", 'executive order temporarily suspend immigration into the United States. Look,']"
98,171,98_irish_ireland_famine_potato,"['irish', 'ireland', 'famine', 'potato', 'dublin', 'riots', 'protests', '1840s', 'italians', 'europe']","[""areas full of Irish immigrants. The Five Points had a lot of Irish immigrants and they were fleeing the potato famine or the great famine as it's called in Ireland."", 'there were 4 million Irish immigrants that came to America', 'there were 4 million Irish immigrants that came to America']"
99,226,99_springfield_ohio_haitian_20,"['springfield', 'ohio', 'haitian', '20', '000', '58', 'town', 'temporary', 'protected', 'status']","['on Haitian immigrants in Springfield, Ohio, and really across the country. So I want to talk about that before I do.', 'Yeah. In Springfield, Ohio, the Haitian immigrants', 'Haitian migrants in Springfield, Ohio,']"
100,329,100_senate_bill_bipartisan_passed,"['senate', 'bill', 'bipartisan', 'passed', 'votes', 'house', 'floor', '2013', 'republicans', 'mitch']","['you could like back in 2013, the Senate passed a bill with more than 60 votes to reform our immigration system.', 'bipartisan immigration reform bill in the Senate. And I want to ask you about that.', 'you know, we, there was a bipartisan immigration bill that got 68 votes out of the Senate.']"
101,166,101_christian_church_catholic_evangelicals,"['christian', 'church', 'catholic', 'evangelicals', 'evangelical', 'pope', 'religious', 'christians', 'religion', 'churches']","[""And I would say, you know, Matt, you bring up evangelical groups or Christian groups and business leaders, both of whom, when it concerns the question of immigration, have actually sided traditionally more moderate with more moderate voices and sometimes even Democratic voices. Evangelicals and Christians have been really concerned about welcoming migrants into this country, as is the Christian way. And there's been a number of articles detailing the efforts they've made in border states to make sure that those coming across the border or those being pushed back over it are getting the adequate help they need."", 'people also mentioned, yeah, but what about immigration? A lot of immigrants are Christian, too.', 'And I would say, you know, Matt, you bring up evangelical groups or Christian groups and business leaders, both of whom, when it concerns the question of immigration, have actually sided traditionally more moderate with more moderate voices and sometimes even Democratic voices. Evangelicals and Christians have been really concerned about welcoming migrants into this country, as is the Christian way.']"
102,155,102_veterans_va_veteran_vets,"['veterans', 'va', 'veteran', 'vets', 'homeless', 'care', 'resources', 'dental', 'health', 'aliens']","[""We would have stopped this because it's not right. The mission of the VA is to serve veterans, not to serve unauthorized migrants. And so what's happening is, and we have this from the Undersecretary of Health, he's put out in a video which I've seen, hey, make it hard for veterans, make it hard for veterans to go ahead and get community care."", ""And the answer is no. Our VA is diverting resources away from veterans to illegal aliens at a time when veterans are standing in a backlog of 300 ,000 claims. What's going on and how do we fix it?"", 'community care for illegal immigrants, not for veterans']"
103,167,103_woman_black_her_indian,"['woman', 'black', 'her', 'indian', 'professor', 'she', 'christina', 'daughter', 'author', 'associate']","['Dr. Christina Greer is associate professor of political science at Fordham University and author of Black Ethnics, Race, Immigration and Pursuit of the American Dream. Thank you so much for a robust conversation on this really important matter.', ""She's the author of the new book Cruelty as Citizenship, How Migrant Suffering Sustains White Democracy, and Dr. Christina Greer, associate professor of political science at Fordham University and author of Black Ethnics, Race, Immigration and the Pursuit of the American Dream, the two Dr. Christina's on the show this morning."", ""Christina Beltran, associate professor and director of graduate studies at NYU's College of Arts and Sciences. She's the author of the new book Cruelty as Citizenship, How Migrant Suffering Sustains White Democracy, and Dr. Christina Greer, associate professor of political science at Fordham University and author of Black Ethnics, Race, Immigration and the Pursuit of the American Dream, the two Dr.""]"
104,257,104_book_chapter_love_wrote,"['book', 'chapter', 'love', 'wrote', 'letter', 'write', 'west', 'called', 'author', 'my']","[""But you have a new book which is about to come out which is called The War on the West. You got there ahead of me by a couple of months because I have a book coming out called An Immigrant's Love Letter to the West so I'm trying to talk about"", ""I'm just finishing my book, my first book, which is called An Immigrant's Love Letter to the West. In the opening chapter,"", 'a book on immigration, The Immigration']"
105,283,105_aliens_illegal_alien_technically,"['aliens', 'illegal', 'alien', 'technically', 'downs', 'country', 'dates', 'objects', 'balloon', 'shoot']","['illegal aliens', 'illegal aliens', 'illegal aliens,']"
106,243,106_stories_story_hear_personal,"['stories', 'story', 'hear', 'personal', 'about', 'news', 'told', 'me', 'latent', 'one']","['a story of immigrants, a story of refugees. So this is not blue.', 'The immigration story', 'the immigration story,']"
107,286,107_list_watch_terrorist_terror,"['list', 'watch', 'terrorist', 'terror', 'fbi', 'database', 'apprehended', 'patrol', 'terrorists', 'screening']","['border patrol agents apprehended 50 illegal immigrants on the terror watch list in october november and december of last year alone according to the federal data Right after that attack that took place in israel. We apprehended 50 individuals on the terrorist watch lists For comparison I go back to this There were a total of 30 such Terrorists that were caught when donald trump was president from 2017 to 2020', ""that are on the list? Remember, if you're on the terrorist watch list, you're not trying to turn yourself into Border Patrol like all these other illegal immigrants right now. Illegal immigrants coming across the border are running to Border Patrol agents."", ""Illegal immigrants on the terrorist watch list between October and December of last year So 50 different terrorists we caught trying to come into this country illegally We don't know by the way how many terrorists got into the country that we did not catch coming into this country illegally Think about that number as well But when you have border patrol agents Apprehending 50 illegal immigrants on the terror watch list between October November December of last year According to the federal data, so that's the numbers They're telling us and you compare that to the total of 30 people That were encountered trying to come across the southern border in the fiscal years 2017 18 19 and 20 meaning the four years that Donald Trump was president the total number of people that came across the southern border That were on the terrorist watch lists were 30""]"
108,225,108_conservatives_conservative_conservatism_poole,"['conservatives', 'conservative', 'conservatism', 'poole', 'social', 'views', 'party', 'values', 'bias', 'liberal']","['would have said Trump is wrong on immigration and that the conservatives should be more', 'immigration, believe it or not conservatives who are very pro -immigration,', 'the way conservatives should view immigration,']"
109,203,109_trans_lgbtq_lgbt_rights,"['trans', 'lgbtq', 'lgbt', 'rights', 'transgender', 'women', 'gay', 'community', 'whether', 'queer']","['But I think we have a sense of this. It is all immigrants and trans folks.', 'trans folks and immigrants. What do you think of that?', 'immigrants and trans people and']"
110,372,110_nation_immigrants_we_america,"['nation', 'immigrants', 'we', 'america', 'generous', 'our', 'say', 'history', 're', 'founded']","['We are a nation of immigrants,', 'we are a nation of immigrants.', 'We are a nation of immigrants,']"
111,290,111_obama_barack_deporter_chief,"['obama', 'barack', 'deporter', 'chief', 'president', 'was', 'boehner', 'administration', 'reform', 'remember']","['Why is this such a change from the Obama era? What was it like for border agents trying to do their jobs and enforce immigration law at our southern border when President Obama was in office? We keep hearing people say now, Obama was the deporter in chief.', 'About the immigration. You know, when Obama was president,', 'Obama was doing this. Obama was super harsh on immigration. They called him deporter in chief and this is why they call Barack Obama a conservative.']"
112,126,112_skirt_loading_treat_promote,"['skirt', 'loading', 'treat', 'promote', 'allow', 'make', 'inevitability', 'bureaucracy', 'illegal', 'colossal']","[""to frame all problems as the direct responsibility of progressive politicians, to hammer the necessity of Republican style policies that have already failed in most cases, almost without exception, and to put big money behind candidates who promise to enact these policies while demonizing progressives and the poor and the homeless. And so we see that on the same kind of strategy with the immigration topic. It's a polarizing strategy, a way to kind of push people to one side or the other."", 'to promote justice...remember, this is supposed to be about the environment. To promote justice and equity by stopping current, preventing future, and repairing historic oppression of indigenous communities, communities of color, migrant communities, deindustrialized communities, depopulated rural communities, the poor, low -income workers, women, the elderly,', 'to stop funding anything that enables single motherhood, to repeal all LGBTQ rights, to force the FDA to revoke approval of abortion drugs, to put Planned Parenthood out of business, to end all school sex education, to allow Christians to opt out of basically any law they can make up a religious objection to, and to allow into this country only immigrants who have accepted the Bible.']"
113,248,113_europe_eu_european_countries,"['europe', 'eu', 'european', 'countries', 'migration', 'europeans', 'tunisia', 'fume', 'borders', 'crushed']","['immigration and against the EU.', 'immigration from the eu', ""nice that's fantastic it's i suppose is a clear end indicator that we live in a time of vacuity where even ardent attendees of a rally are unable to say why they support a particular candidate and i reckon that's how they want us lost in delirium trapped in emotion only able to offer invective and fury or hollow rhetoric rather than saying i believe this candidate is going to be good for my community and good for my family did you see that policy about how they're going to enable our community to be granted an entire budget and vote which bits we give to schools which bits we give to hospitals which bit we donate kick upstairs to defense how we manage our own migration we're going to say that our community can take this number of migrants that would have to be registered in this way and participate in our community in this way and this is how we believe the border should be should be used that is why i so enjoyed me in phidias who uh the dude from who's become a member of the european parliament who through transparency tells you how the eu works and if you don't know how the eu works then surely you'll be interested that ursula von delayan who's just been voted back into her position of uber superiority conducted private conversations with albert baller ceo of phisa made orders of vaccines that ultimately turned out to be not 100 successful uh and and an interesting wrinkle is that her husband you'll be astonished to learn works in the pharmaceutical industry and received some of those contracts himself there is so much room for transparency there is so much room for information in an age where people tell you like the democrat party establishment will tell you misinformation has to be controlled look at their supporters uninformed misinformed delirious bewildered and unable to appoint even a single reason to vote for a candidate that they vociferously support and support through their attendance of that event staggering extraordinary at very least surprising guys if you're an awake and wonder and a locals member are you enjoying seeing our stand -up breakdowns made by me and massie one of our editors we work very hard here in this little team check that stuff out let me me know what you think of the john rich conversation how i loved chatting to that guy he is pretty passionate about his christianity it was an extraordinary chat i loved it let me know what you think hey listen you guys we've got a brilliant breakdown of the kamala harris campaign and the way that the media are working and when i say media i don't just mean legacy media print television i mean online media too and indeed the manipulation that's taking place in the space start the youtube account down would you guys because this stuff's going to be too spicy for a media establishment that participates in that kind of propaganda we're going to show you exactly how it's been pieced together and even show you some extraordinary footage of donald trump prior to his candidacy and how he was approached with something something akin to affection by that oft cited coven of loathing the view we'll also be looking at bobby kennedy and the kind of hate and hate he receives from the establishment so click that link in the description join us on rumble and let's speak freely and unite before we jump into that and i've got so much more to tell you about actually i've got some lovely stuff on more because let's not forget that the apocalypse is encroaching let's have a look at let's have a little message from our sponsors partners and friends over at fume fume delicious fume my favorite flavor is orange vanilla all the my favorite one there orange vanilla this alternative helps you kick your bad habit in an enjoyable way without nicotine fume don't just serve you or me but 300 000 customers you can be their next success story for a limited time use my code russell brand for your free topper the perfect accessory to your fume device slip it onto the mouthpiece for a softer warmer feel grow up it's chewable for those of you who like to fidget orally and reusable how many things can you say about chewable but also reusable head to tryfume .com that's try f -u -m use the code russell brand two s's and two l's or scan the qr code on your screen right now to get your free fume topper when you order your journey pack today chewable fume it's the age we live in baby""]"
114,177,114_food_farm_farmers_plants,"['food', 'farm', 'farmers', 'plants', 'farms', 'farming', 'workers', 'agricultural', 'crops', 'meat']","[""And our farmers were like, oh my goodness, this is a disaster, we can't get this. And when we talk about immigration reform, I think that's a big part of our farming community is how do we make sure that people who want to come in and work seasons in this country actually can because it's not set up so great right now. And if our farmers can't get that work and that help on their farms, they're closing."", 'We have a shortage of workers in our country. You see even in Florida, some of the farmers are saying, why are you shipping these immigrants up north? We need them to pick crops down here.', ""itself as the path to the American dream for the immigrants who staff at slaughterhouses and meat cutting lines. The company erected employee housing near some plants where as many as 60 languages are spoken and workers can learn English after hours and take free community college courses here in northern Colorado, though, at one of the company's biggest beef plants recently arrived, workers from Haiti described grim living conditions.""]"
115,172,115_crisis_migrant_europe_2015,"['crisis', 'migrant', 'europe', '2015', 'bigger', 'worldwide', 'before', 'rica', 'abetting', 'course']","['migrant crisis,', 'migrant crisis.', 'the migrant crisis']"
116,271,116_fear_mongering_credible_scared,"['fear', 'mongering', 'credible', 'scared', 'afraid', 'your', 'monger', 'fears', 'their', 'people']","['The fear is, and this has always been the problem with immigration,', ""It does seem like so much of the immigration debate is driven by fear. Politicians have the fear, obviously there's fear among voters."", ""But it's a movement that has built itself on creating a culture of fear, right? Fear of cultural change, fear of gay people, fear of women having the wrong kind of social role, fear of refugees, fear of foreigners, fear""]"
117,281,117_camps_camp_refugee_janine,"['camps', 'camp', 'refugee', 'janine', 'tents', 'wasted', 'conditions', 'living', 'bombing', 'jordan']","['refugee camps. Right.', 'refugee camps.', 'refugee camps.']"
118,187,118_ads_ad_facebook_campaign,"['ads', 'ad', 'facebook', 'campaign', 'trans', 'trump', 'running', 'ran', 'her', 'republican']","['The most expensive ad campaign Trump ran on Google had to do with illegal immigration. The third most interacted with ad campaign on Facebook had to do with immigration. And although these campaign ads are actually about a year old, and according to Gallup, the most important issues today are not immigration.', 'We saw it very early in our polling before the attack ads even started. We knew immigration was we had ads ready to go about immigration, both positive ads with Swazi offering solutions and a response ad where he directly speaks to camera about the attacks that we assumed were coming. And', ""The ads are just everywhere. And also, like I said, the choice of those ads for Trump, every ad immigration, immigration, immigration, immigration, migrant, immigration. And then there were some Dave McCormick ads which tried to do that thing where he's like, Bob Casey's the real radical on abortion.""]"
119,177,119_cats_eating_dogs_pets,"['cats', 'eating', 'dogs', 'pets', 'cat', 'ohio', 'pet', 'springfield', 'eat', 'debate']","['And obviously the eating cats and dogs is the least significant issue of the migrant problem here.', ""I care about cats and dogs, but immigrants eating them, or not, isn't the story."", ""then also, of course, saying that immigrants are eating people's pets, eating people's cats and dogs.""]"
120,266,120_climate_change_refugees_droughts,"['climate', 'change', 'refugees', 'droughts', 'weather', 'world', 'predicted', 'creating', '50', 'crisis']","['Climate refugees?', 'Climate refugees?', 'to the climate refugees?']"
121,195,121_poland_warsaw_refugees_ukraine,"['poland', 'warsaw', 'refugees', 'ukraine', 'ukrainian', 'polish', 'taken', 'zelensky', 'nato', 'million']","[""There's no refugee camp in Poland. There were"", ""And it's overwhelmingly to Poland. So when it was 1 .7 million refugees, 1 million plus of those were in Poland alone."", ""No one in Poland says, oh, I'm a refugee.""]"
122,149,122_ngos_charities_catholic_organizations,"['ngos', 'charities', 'catholic', 'organizations', 'nonprofits', 'money', 'dollars', 'sunset', 'donated', 'governmental']","['When I was there several months ago, Border Patrol had a lot of buses that they were filing migrants onto and taking to Catholic charities. Then I watched Catholic charities give plane tickets to the migrants to head in further into the US.', ""No, you're absolutely right. Not just the left wing groups, but also this administration is funding these non -governmental organizations, NGOs, to be down there and basically be the travel agencies for these illegal immigrants. And so the left can be upset with Governor Abbott and Governor DeSantis and call them human traffickers, but the Biden administration is using taxpayer funds to support Catholic charities and some of these other groups to transport illegals all across the United States of America."", ""And look, tell me if I'm wrong here. Catholic charities, these NGOs, these other charitable organizations, they're the ones getting the money from the government, providing facilities for these illegals. Excuse me.""]"
123,145,123_cap_125_refugee_000,"['cap', '125', 'refugee', '000', 'refugees', 'slashed', 'year', 'fiscal', 'obama', 'biden']","[""He promised to raise the refugee cap from 15 ,000 under Trump to 125 ,000, but he hasn't come close. It's at 62 ,500 now."", ""Yeah, which sort of gets me to the next thing I want to raise with you, which is, you know, we've talked a lot about refugees and the refugee cap on the number admitted into the country during the Trump administration. Talked about it a bit under Biden because initially they kind of lowballed the number, then they increased the cap to 125 ,000 refugees into the US in 2022."", ""Yeah, which sort of gets me to the next thing I want to raise with you, which is, you know, we've talked a lot about refugees and the refugee cap on the number admitted into the country during the Trump administration. Talked about it a bit under Biden because initially they kind of lowballed the number, then they increased the cap to 125 ,000 refugees into the US in 2022. They announced the 2023 cap recently.""]"
124,204,124_jewish_jews_germany_german,"['jewish', 'jews', 'germany', 'german', 'eastern', 'century', 'europe', 'stuyvesant', 'holocaust', 'were']","['I think also an interesting aspect of this too that comes out of a complex intra -Jewish history that Amaya Gellman wrote an interesting piece about for Jewish Currents a couple years ago that I would encourage people to check out is that it kind of comes in part out of this intra -Jewish tension between the earlier German Jewish immigrants who often came over somewhat earlier in the 19th century and then like the Eastern European Jewish masses that arrived closer to the turn of the 20th century. And the ways in which actually these organizations like the ADL and many of the other legacy Jewish organizations, including the ADL, were founded by these more elite, well -off liberal German Jews who felt somewhat threatened by the kind of radicalism and working class status and lack of assimilation of all these Eastern European Jewish immigrants that were coming in droves.', 'I think also an interesting aspect of this too that comes out of a complex intra -Jewish history that Amaya Gellman wrote an interesting piece about for Jewish Currents a couple years ago that I would encourage people to check out is that it kind of comes in part out of this intra -Jewish tension between the earlier German Jewish immigrants who often came over somewhat earlier in the 19th century and then like the Eastern European Jewish masses that arrived closer to the turn of the 20th century. And the ways in which actually these organizations like the ADL and many of the other legacy Jewish organizations, including the ADL, were founded by these more elite, well -off liberal German Jews who felt somewhat threatened by the kind of radicalism and working class status and lack of assimilation of all these Eastern European Jewish immigrants that were coming in droves. And they felt that that threatened their own status as Jews in America because they felt like that brought negative attention or that people were going to associate them with this rabble and all of those things.', 'Jewish immigrant from']"
125,142,125_germany_merkel_afd_angela,"['germany', 'merkel', 'afd', 'angela', 'german', 'refugees', 'europe', 'jewish', 'germans', '2015']","[""No other country just says, you know what? Sure, let's just let everyone keep coming and let every Germany remember Angela Merkel a few years back taking in all these refugees from Syria? And people said, hold on a second, you're taking in a million refugees a year."", ""like the Angela Merkel's decision to let in all the refugees, I think"", ""Sure, let's just let everyone keep coming and let every Germany. Remember Angela Merkel a few years back taking in all these refugees from Syria? And people said, hold on a second, you're taking in a million refugees a year.""]"
126,172,126_app_cbp_phone_mobile,"['app', 'cbp', 'phone', 'mobile', 'apply', 'cell', 'patriot', 'appointment', 'entry', 'ports']","[""it's a phone app for migrants,"", ""they have this CBP one app, right? It's an app that migrants go on to enter the country."", 'they had this app, the CBP one app where migrants could go legally on an app and apply for']"
127,145,127_hungary_orban_hungarian_orbán,"['hungary', 'orban', 'hungarian', 'orbán', 'viktor', 'budapest', 'european', 'hungarians', 'doors', 'eu']","['Hungary, the Hungary right, does agree with President Trump and Hungary implemented legal and physical border protection as well in the past couple of years, because we do think that the best number of illegal mass migration or illegal migrants is zero. And at the moment, the number of illegal migrants in Hungary is close to zero. But why do we do this?', 'Hungary, the Hungary right, does agree with President Trump and Hungary implemented legal and physical border protection as well in the past couple of years, because we do think that the best number of illegal mass migration or illegal migrants is zero. And at the moment, the number of illegal migrants in Hungary is close to zero.', 'So the issue for me is not, can we stop immigration and be like Hungary? Have you been to Hungary?']"
128,293,128_pro_immigrant_am_very,"['pro', 'immigrant', 'am', 'very', 'immigration', 'anti', 'legal', 'sort', 'nationalist', 'worker']","[""They're not pro immigration. They're pro illegal immigration."", 'They are pro -illegal immigration.', 'Pro -immigration,']"
